method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,dense_cost,sparse_cost,beta
logreg_cvar_0.5,19,,80,False,68,0.36042117410235935,0.37866590172052383,0.8477003971735636,0.7719519734382629,6540800,0.8919596261520685,0.5879742324261468,0.8061946517586893,0.7976019184652278,0.8147873850521509,0.2,0.2588650583752478,6540800.0,6540800.0,
logreg_cvar_0.75,19,,80,False,68,0.3599785889188449,0.37779349585374195,0.8471518754959106,0.769109308719635,6540800,0.890411610722531,0.5854810825225106,0.8029061142865008,0.7904076738609113,0.8154045547120904,0.2,0.255555170518935,6540800.0,6540800.0,
logreg_cvar_0.9,19,,80,False,68,0.3599785889188449,0.37779349585374195,0.8471518754959106,0.769109308719635,6540800,0.890411610722531,0.5854810825225106,0.8029061142865008,0.7904076738609113,0.8154045547120904,0.2,0.255555170518935,6540800.0,6540800.0,
logreg_cvar_0.95,19,,80,False,68,0.3599785889188449,0.37779349585374195,0.8471518754959106,0.769109308719635,6540800,0.890411610722531,0.5854810825225106,0.8029061142865008,0.7904076738609113,0.8154045547120904,0.2,0.255555170518935,6540800.0,6540800.0,
logreg_fedprox_mu_0p0,19,0.0,80,False,68,0.3598623490995831,0.37421493646171355,0.8501286705334982,0.7716436386108398,6540800,0.8935741094219606,0.5908131640483965,0.8057027364592311,0.7932853717026379,0.8181201012158242,0.4,0.26427333920523244,6540800.0,6540800.0,
logreg_fedprox_mu_0p001,19,0.001,80,False,68,0.35958150194750893,0.37384990685515934,0.8501682546403673,0.7716436386108398,6540800,0.8936492797985274,0.5910636681690221,0.8057335949422281,0.7932853717026379,0.8181818181818182,0.4,0.26427333920523244,6540800.0,6540800.0,
logreg_fedprox_mu_0p01,19,0.01,80,False,68,0.3574064564373758,0.3717438015672896,0.8503718177477518,0.771894633769989,6540800,0.8945533963497596,0.5927997209723863,0.8075665444315534,0.7966426858513189,0.818490403011788,0.4,0.26763601830739414,6540800.0,6540800.0,
logreg_fedprox_mu_0p1,19,0.1,80,False,68,0.34118204481071895,0.35229361553986865,0.8567462099923028,0.7751568555831909,6540800,0.8999153426749437,0.6049770639282297,0.8122737729090935,0.7976019184652278,0.8269456273529593,0.4,0.3465492050685315,6540800.0,6540800.0,
logreg_fedavg,23,,80,False,67,0.3557379874918196,0.37345603356758755,0.8483991159333123,0.7498117685317993,6540800,0.8945841364309034,0.6077402764400548,0.8075594847210549,0.7971223021582734,0.8179966672838364,0.6,0.3032925607026326,6540800.0,6540800.0,
logreg_cvar_0.5,23,,80,False,67,0.3583046628369225,0.37177328848176533,0.8488987816704644,0.7460476756095886,6540800,0.8953019328658532,0.609125099089662,0.8075453653000577,0.7980815347721822,0.8170091958279331,0.6,0.28586701807929427,6540800.0,6540800.0,
logreg_cvar_0.75,23,,80,False,67,0.36405763195620644,0.37438108772039413,0.8489215241538154,0.7465495467185974,6540800,0.8948034462635408,0.606386604797844,0.8071583244420941,0.7971223021582734,0.817194346725915,0.6,0.25586634961462545,6540800.0,6540800.0,
logreg_cvar_0.9,23,,80,False,67,0.36405763195620644,0.37438108772039413,0.8489215241538154,0.7465495467185974,6540800,0.8948034462635408,0.606386604797844,0.8071583244420941,0.7971223021582734,0.817194346725915,0.6,0.25586634961462545,6540800.0,6540800.0,
logreg_cvar_0.95,23,,80,False,67,0.36405763195620644,0.37438108772039413,0.8489215241538154,0.7465495467185974,6540800,0.8948034462635408,0.606386604797844,0.8071583244420941,0.7971223021582734,0.817194346725915,0.6,0.25586634961462545,6540800.0,6540800.0,
logreg_fedprox_mu_0p0,23,0.0,80,False,67,0.35516225298245746,0.37349080046017963,0.848924093776279,0.7505646347999573,6540800,0.8946035247343692,0.6074579195853436,0.807891868323523,0.7976019184652278,0.8181818181818182,0.6,0.2957078296442174,6540800.0,6540800.0,
logreg_fedprox_mu_0p001,23,0.001,80,False,67,0.3548557485143344,0.3724973764684465,0.8489831686019897,0.7500627636909485,6540800,0.8946183693667173,0.6078930769544506,0.8077137771360398,0.7971223021582734,0.8183052521138061,0.6,0.2952206326307045,6540800.0,6540800.0,
logreg_fedprox_mu_0p01,23,0.01,80,False,67,0.3531272096766366,0.3684329407082664,0.8492004738913642,0.7508155703544617,6540800,0.8948036238663207,0.6089239889198244,0.8078442707785263,0.7966426858513189,0.8190458557057335,0.6,0.2987597132563994,6540800.0,6540800.0,
