lr,local_epochs,clients_per_round,seed,total_comm_bytes,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
0.01,5,9,13,501625584,23,True,8,0.3005988332960341,0.5282434258196089,0.9027696583006117,0.8343788981437683,501625584,0.8253217607361992,0.5416179559658831,0.7653289625289215,0.6158273381294964,0.9148305869283466,0.0,0.05568627450980393
0.05,2,3,7,174478464,24,True,9,0.4861770139800178,0.6414072646035088,0.9010861184861925,0.8363636136054993,174478464,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,2,3,11,218098080,30,True,15,0.43841612918509376,0.7665402359432645,0.09891387696067493,0.019607843831181526,218098080,0.5,0.11400918635170604,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,2,3,13,189018336,26,True,11,0.3300185236665938,0.7450735767682394,0.09891387696067493,0.019607843831181526,189018336,0.6705299267344133,0.23929108261146087,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,2,5,7,290797440,24,True,9,0.424506985478931,0.6841917965147231,0.9009934663772583,0.8401768803596497,290797440,0.6401437191294918,0.23998539281322237,0.6401338325747474,0.3203836930455635,0.9598839721039314,0.18699186991869918,0.049019607843137254
0.05,2,5,11,254447760,21,True,6,0.5308181345462799,0.9342277116245694,0.09901194978091452,0.019607843831181526,254447760,0.5001851508979819,0.11404660321627831,0.5000925754489909,1.0,0.00018515089798185522,1.0,0.0196078431372549
0.05,2,5,13,230214640,19,True,4,0.5187261038356357,0.6617159379853143,0.7158458332220713,0.21085378527641296,230214640,0.6797335247891301,0.17855952671501352,0.6797110580374804,0.7280575539568346,0.6313645621181263,0.1,0.03785714285714286
0.05,2,7,7,322300496,19,True,4,0.5507819983694289,0.7665799591276381,0.09891387696067493,0.019607843831181526,322300496,0.5,0.11400918635170604,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,2,7,11,322300496,19,True,4,0.4061502052678002,0.5647112396028307,0.9223019149568346,0.8787112832069397,322300496,0.6357005563851086,0.3060188018732054,0.635450047664146,0.2800959232613909,0.9908041720669012,0.0,0.0196078431372549
0.05,2,7,13,458005968,27,True,12,0.5093568795257144,0.5684202710787455,0.910811722278595,0.8500000238418579,458005968,0.5620370950046111,0.2067833170145763,0.562037095004611,0.12709832134292565,0.9969758686662964,0.0,0.0196078431372549
0.05,2,9,7,828772704,38,True,23,0.4191964566707611,0.5488171213203006,0.9261171287960477,0.8799747228622437,828772704,0.744248311774576,0.48363075547213824,0.737018147008037,0.5098321342925659,0.964204159723508,0.0,0.0196078431372549
0.05,2,9,11,479815776,22,True,7,0.5470059348477257,0.6091033021608988,0.9126452340020074,0.860075831413269,479815776,0.5715775759322186,0.20745303229394252,0.5715729434597111,0.15011990407673861,0.9930259828426835,0.0,0.0196078431372549
0.05,2,9,13,545245200,25,True,10,0.40024950438075596,0.47415414783689713,0.9224740465482076,0.8739734888076782,545245200,0.7097506590173149,0.36009148784205325,0.7097717937481157,0.4489208633093525,0.970622724186879,0.0,0.0196078431372549
0.05,2,9,7,501625584,23,True,8,0.5402064787016975,0.6416977511511909,0.9010861184861925,0.8363636136054993,501625584,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,2,9,11,392576544,18,True,3,0.5315651165114509,0.663661519686381,0.9010861184861925,0.8363636136054993,392576544,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,2,9,13,414386352,19,True,4,0.4052309857474433,0.6590563853581747,0.9010861184861925,0.8363636136054993,414386352,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,5,3,7,123588912,17,True,2,0.47009415096706814,0.6502005921469795,0.9010861184861925,0.8363636136054993,123588912,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,5,3,11,152668656,21,True,6,0.44486621353361344,0.5080321431159973,0.8924170268906487,0.831818163394928,152668656,0.6924962825518145,0.2716968861305721,0.6924962825518145,0.45275779376498804,0.932234771338641,0.2,0.05568627450980393
0.05,5,3,13,189018336,26,True,11,0.42234504222869873,0.7701433764563667,0.09891387696067493,0.019607843831181526,189018336,0.5,0.11400918635170604,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,5,5,7,290797440,24,True,9,0.508482469452752,0.7685005929734972,0.09891387696067493,0.019607843831181526,290797440,0.5,0.11400918635170604,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,5,5,11,230214640,19,True,4,0.5157816708087921,0.7192085451549954,0.09891387696067493,0.019607843831181526,230214640,0.5768576029752017,0.23695872698166925,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,5,5,13,230214640,19,True,4,0.3958517147435082,0.6991316808594598,0.09891387696067493,0.019607843831181526,230214640,0.6691790503904967,0.2792101400407092,0.5,1.0,0.0,1.0,0.0196078431372549
0.05,5,7,7,305337312,18,True,3,0.36597609519958496,0.5332951611942716,0.9250888095961677,0.8783954381942749,305337312,0.6833726353484885,0.3434374395061539,0.6831258710861343,0.38705035971223023,0.9792013824600383,0.0,0.0196078431372549
0.05,5,7,11,441042784,26,True,11,0.5517043670018514,0.6414884792433845,0.9010861184861925,0.8363636136054993,441042784,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,5,7,13,271410944,16,True,1,0.5648290779855516,0.5825041002697415,0.9010861184861925,0.8363636136054993,271410944,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,5,9,7,348956928,16,True,1,0.5891229973898994,0.6860912044843038,0.9010861184861925,0.8363636136054993,348956928,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
0.05,5,9,11,348956928,16,True,1,0.5019774238268534,0.6394238008393182,0.9010861184861925,0.8363636136054993,348956928,0.5,0.11400918635170604,0.5,0.0,1.0,0.0,0.0196078431372549
